cap_k,wy_type,n_cuttings,et_bin_idx,et_bin_label,et_bin_center,mean_saved_mm,mean_saved_acft,mean_n_late,count,is_model,cell_type
0,Dry,14,1,150–300,225,,,,0,True,infeasible
0,Dry,14,2,300–500,400,,,,0,True,infeasible
0,Dry,14,3,500–700,600,,,,0,True,infeasible
0,Dry,14,4,700–900,800,,,,0,True,infeasible
0,Dry,14,5,900–1100,1000,,,,0,True,infeasible
0,Dry,14,6,1100–1400,1250,641.7560552229108,2.105498868841571,5.0,0,True,extrapolated
0,Dry,14,7,1400–1700,1550,930.0,3.0511811023622046,5.0,0,True,extrapolated
0,Dry,14,8,1700–2100,1900,1140.0,3.7401574803149606,5.0,0,True,extrapolated
0,Dry,14,9,2100–2500,2300,1380.0,4.52755905511811,5.0,0,True,extrapolated
0,Above Normal,1,0,0–150,75,,,,10,True,infeasible
0,Above Normal,1,1,150–300,225,,,,13,True,infeasible
0,Above Normal,1,2,300–500,400,,,,2,True,infeasible
0,Above Normal,1,3,500–700,600,,,,0,True,infeasible
0,Above Normal,1,4,700–900,800,,,,0,True,infeasible
0,Above Normal,1,5,900–1100,1000,,,,0,True,infeasible
0,Above Normal,1,6,1100–1400,1250,,,,0,True,infeasible
0,Above Normal,1,7,1400–1700,1550,,,,0,True,infeasible
0,Above Normal,1,8,1700–2100,1900,,,,0,True,infeasible
0,Above Normal,1,9,2100–2500,2300,,,,0,True,infeasible
0,Above Normal,2,0,0–150,75,,,,9,True,infeasible
0,Above Normal,2,1,150–300,225,,,,34,True,infeasible
0,Above Normal,2,2,300–500,400,,,,24,True,infeasible
0,Above Normal,2,3,500–700,600,,,,4,True,infeasible
0,Above Normal,2,4,700–900,800,,,,2,True,infeasible
0,Above Normal,2,5,900–1100,1000,,,,0,True,infeasible
0,Above Normal,2,6,1100–1400,1250,,,,0,True,infeasible
0,Above Normal,2,7,1400–1700,1550,,,,0,True,infeasible
0,Above Normal,2,8,1700–2100,1900,,,,0,True,infeasible
0,Above Normal,2,9,2100–2500,2300,,,,0,True,infeasible
0,Above Normal,3,0,0–150,75,,,,9,True,infeasible
0,Above Normal,3,1,150–300,225,,,,22,True,infeasible
0,Above Normal,3,2,300–500,400,,,,33,True,infeasible
0,Above Normal,3,3,500–700,600,,,,9,True,infeasible
0,Above Normal,3,4,700–900,800,,,,8,True,infeasible
0,Above Normal,3,5,900–1100,1000,,,,0,True,infeasible
0,Above Normal,3,6,1100–1400,1250,,,,0,True,infeasible
0,Above Normal,3,7,1400–1700,1550,,,,0,True,infeasible
0,Above Normal,3,8,1700–2100,1900,,,,0,True,infeasible
0,Above Normal,3,9,2100–2500,2300,,,,0,True,infeasible
0,Above Normal,4,0,0–150,75,,,,2,True,infeasible
0,Above Normal,4,1,150–300,225,,,,20,True,infeasible
0,Above Normal,4,2,300–500,400,,,,49,True,infeasible
0,Above Normal,4,3,500–700,600,,,,26,True,infeasible
0,Above Normal,4,4,700–900,800,,,,14,True,infeasible
0,Above Normal,4,5,900–1100,1000,,,,2,True,infeasible
0,Above Normal,4,6,1100–1400,1250,,,,0,True,infeasible
0,Above Normal,4,7,1400–1700,1550,,,,0,True,infeasible
0,Above Normal,4,8,1700–2100,1900,,,,0,True,infeasible
0,Above Normal,4,9,2100–2500,2300,,,,0,True,infeasible
0,Above Normal,5,0,0–150,75,,,,0,True,infeasible
0,Above Normal,5,1,150–300,225,28.05033333333333,0.09202865266841644,0.0,12,False,observed
0,Above Normal,5,2,300–500,400,62.39165217391305,0.2046970215679562,1.0,46,False,observed
0,Above Normal,5,3,500–700,600,283.3812537313433,0.9297285227406276,2.0,67,False,observed
0,Above Normal,5,4,700–900,800,405.85996590909093,1.3315615679432116,2.0,88,False,observed
0,Above Normal,5,5,900–1100,1000,510.3472222222223,1.674367526975795,2.0,27,False,observed
0,Above Normal,5,6,1100–1400,1250,,,,1,True,infeasible
0,Above Normal,5,7,1400–1700,1550,,,,0,True,infeasible
0,Above Normal,5,8,1700–2100,1900,,,,0,True,infeasible
0,Above Normal,5,9,2100–2500,2300,,,,0,True,infeasible
0,Above Normal,6,0,0–150,75,,,,0,True,infeasible
0,Above Normal,6,1,150–300,225,6.414142857142857,0.021043775778027747,0.0,7,False,observed
0,Above Normal,6,2,300–500,400,91.26489130434784,0.29942549640534066,1.0,46,False,observed
0,Above Normal,6,3,500–700,600,225.28988,0.7391400262467192,2.0,50,False,observed
0,Above Normal,6,4,700–900,800,377.2315213675214,1.2376362249590596,2.0,117,False,observed
0,Above Normal,6,5,900–1100,1000,461.78952777777783,1.5150575058326043,2.0,72,False,observed
0,Above Normal,6,6,1100–1400,1250,548.6499,1.8000324803149605,2.0,20,False,observed
0,Above Normal,6,7,1400–1700,1550,,,,0,True,infeasible
0,Above Normal,6,8,1700–2100,1900,,,,0,True,infeasible
0,Above Normal,6,9,2100–2500,2300,,,,0,True,infeasible
0,Above Normal,7,0,0–150,75,,,,0,True,infeasible
0,Above Normal,7,1,150–300,225,,,,2,True,infeasible
0,Above Normal,7,2,300–500,400,47.181999999999995,0.15479658792650916,1.0,6,False,observed
0,Above Normal,7,3,500–700,600,179.23445652173913,0.5880395555175169,2.0,46,False,observed
0,Above Normal,7,4,700–900,800,366.76588571428573,1.2033001499812523,2.0,140,False,observed
0,Above Normal,7,5,900–1100,1000,434.57044311377246,1.4257560469611956,2.0,167,False,observed
0,Above Normal,7,6,1100–1400,1250,442.1921355932203,1.4507615997152896,2.0,59,False,observed
0,Above Normal,7,7,1400–1700,1550,,,,0,True,infeasible
0,Above Normal,7,8,1700–2100,1900,,,,0,True,infeasible
0,Above Normal,7,9,2100–2500,2300,,,,0,True,infeasible
0,Above Normal,8,0,0–150,75,,,,0,True,infeasible
0,Above Normal,8,1,150–300,225,,,,2,True,infeasible
0,Above Normal,8,2,300–500,400,,,,4,True,infeasible
0,Above Normal,8,3,500–700,600,204.0596111111111,0.6694869130941965,2.0,18,False,observed
0,Above Normal,8,4,700–900,800,340.08110169491533,1.1157516459806933,2.0,59,False,observed
0,Above Normal,8,5,900–1100,1000,395.92772222222214,1.2989754666083404,2.0,126,False,observed
0,Above Normal,8,6,1100–1400,1250,455.2544912280702,1.4936170972049547,2.0,114,False,observed
0,Above Normal,8,7,1400–1700,1550,,,,3,True,infeasible
0,Above Normal,8,8,1700–2100,1900,,,,0,True,infeasible
0,Above Normal,8,9,2100–2500,2300,,,,0,True,infeasible
0,Above Normal,9,0,0–150,75,,,,0,True,infeasible
0,Above Normal,9,1,150–300,225,,,,0,True,infeasible
0,Above Normal,9,2,300–500,400,,,,2,True,infeasible
0,Above Normal,9,3,500–700,600,,,,2,True,infeasible
0,Above Normal,9,4,700–900,800,351.1791764705882,1.1521626524625597,2.0,17,False,observed
0,Above Normal,9,5,900–1100,1000,417.30940677966106,1.369125350326972,3.0,59,False,observed
0,Above Normal,9,6,1100–1400,1250,447.0338703703704,1.466646556333236,2.0,54,False,observed
0,Above Normal,9,7,1400–1700,1550,801.0246937854804,2.6280337722620746,3.0,4,True,sparse
0,Above Normal,9,8,1700–2100,1900,,,,0,True,infeasible
0,Above Normal,9,9,2100–2500,2300,,,,0,True,infeasible
0,Above Normal,10,0,0–150,75,,,,0,True,infeasible
0,Above Normal,10,1,150–300,225,,,,0,True,infeasible
0,Above Normal,10,2,300–500,400,,,,0,True,infeasible
0,Above Normal,10,3,500–700,600,,,,0,True,infeasible
0,Above Normal,10,4,700–900,800,207.25872572392026,0.6799826959446202,3.0,0,True,extrapolated
0,Above Normal,10,5,900–1100,1000,450.5693,1.4782457349081364,3.0,10,False,observed
0,Above Normal,10,6,1100–1400,1250,622.2151624138293,2.041388328129361,3.0,1,True,sparse
0,Above Normal,10,7,1400–1700,1550,771.5468013931483,2.5313215268804075,3.0,0,True,extrapolated
0,Above Normal,10,8,1700–2100,1900,,,,0,True,infeasible
0,Above Normal,10,9,2100–2500,2300,,,,0,True,infeasible
0,Above Normal,11,0,0–150,75,,,,0,True,infeasible
0,Above Normal,11,1,150–300,225,,,,0,True,infeasible
0,Above Normal,11,2,300–500,400,,,,0,True,infeasible
0,Above Normal,11,3,500–700,600,,,,0,True,infeasible
0,Above Normal,11,4,700–900,800,204.1707252803726,0.6698514608936109,3.0,0,True,extrapolated
0,Above Normal,11,5,900–1100,1000,361.44725135540807,1.185850562189659,3.0,4,True,sparse
0,Above Normal,11,6,1100–1400,1250,632.6775318634247,2.0757136872159605,3.0,1,True,sparse
0,Above Normal,11,7,1400–1700,1550,784.5201395106467,2.5738849721477908,3.0,0,True,extrapolated
0,Above Normal,11,8,1700–2100,1900,,,,0,True,infeasible
0,Above Normal,11,9,2100–2500,2300,,,,0,True,infeasible
0,Above Normal,12,0,0–150,75,,,,0,True,infeasible
0,Above Normal,12,1,150–300,225,,,,0,True,infeasible
0,Above Normal,12,2,300–500,400,,,,0,True,infeasible
