UniqueID,county,WY,n_cuttings,n_cp_season,cutoff_date,n_late_cuts,late_et_mm,total_et_mm,late_cycle_et_mm_list,late_cut_dates,area_acres,late_et_acft,saved_mm_cap0,saved_mm_cap1,saved_mm_cap2,saved_mm_cap3
3910443,San Joaquin,2021,9.0,9,2021-07-01,3,231.978,800.044,"[120.91300000000001, 64.47999999999999, 46.585]","[Timestamp('2021-07-20 00:00:00'), Timestamp('2021-08-12 00:00:00'), Timestamp('2021-09-10 00:00:00')]",22.558658147607307,17.169003936239005,231.978,111.065,46.585,0.0
3910469,San Joaquin,2021,7.0,0,2021-07-01,3,526.934,1092.6709999999998,"[209.584, 185.077, 132.27299999999997]","[Timestamp('2021-07-12 00:00:00'), Timestamp('2021-08-17 00:00:00'), Timestamp('2021-09-16 00:00:00')]",37.80455453772868,65.35598799469659,526.934,317.34999999999997,132.27299999999997,0.0
3910510,San Joaquin,2021,7.0,0,2021-07-01,2,285.842,971.903,"[161.816, 124.02600000000001]","[Timestamp('2021-07-30 00:00:00'), Timestamp('2021-08-28 00:00:00')]",74.40441700539519,69.77659896868822,285.842,124.02600000000001,0.0,0.0
3910544,San Joaquin,2021,8.0,0,2021-07-01,3,365.79,889.8340000000001,"[124.913, 133.204, 107.67299999999999]","[Timestamp('2021-07-21 00:00:00'), Timestamp('2021-08-21 00:00:00'), Timestamp('2021-09-16 00:00:00')]",16.670304222668353,20.0060058451767,365.79,240.877,107.67299999999999,0.0
3910595,San Joaquin,2021,5.0,0,2021-07-01,2,292.552,679.23,"[165.07, 127.482]","[Timestamp('2021-07-16 00:00:00'), Timestamp('2021-08-12 00:00:00')]",8.179117088012076,7.850449679567286,292.552,127.482,0.0,0.0
3910629,San Joaquin,2021,6.0,0,2021-07-01,3,378.0210000000001,580.6800000000001,"[98.991, 200.36800000000002, 78.662]","[Timestamp('2021-07-04 00:00:00'), Timestamp('2021-08-27 00:00:00'), Timestamp('2021-09-28 00:00:00')]",3.9290212834757026,4.8728758353043595,378.0210000000001,279.03000000000003,78.662,0.0
3910660,San Joaquin,2021,6.0,0,2021-07-01,3,578.634,948.975,"[222.995, 212.659, 142.98000000000002]","[Timestamp('2021-07-15 00:00:00'), Timestamp('2021-08-21 00:00:00'), Timestamp('2021-09-23 00:00:00')]",14.296757820743558,27.14104384792693,578.634,355.639,142.98000000000002,0.0
3910674,San Joaquin,2021,9.0,0,2021-07-01,3,434.275,1053.9470000000001,"[162.38500000000002, 145.06599999999995, 126.824]","[Timestamp('2021-07-08 00:00:00'), Timestamp('2021-08-07 00:00:00'), Timestamp('2021-09-01 00:00:00')]",44.49173975100637,63.391241077323784,434.275,271.88999999999993,126.824,0.0
3910714,San Joaquin,2021,4.0,0,2021-07-01,2,250.07500000000002,616.4450000000002,"[147.519, 102.55600000000001]","[Timestamp('2021-07-25 00:00:00'), Timestamp('2021-09-13 00:00:00')]",41.02025386883556,33.65531491551527,250.07500000000002,102.55600000000001,0.0,0.0
3910721,San Joaquin,2021,7.0,0,2021-07-01,2,320.443,944.115,"[190.36, 130.083]","[Timestamp('2021-07-29 00:00:00'), Timestamp('2021-08-28 00:00:00')]",8.491445512595062,8.927244994726047,320.443,130.083,0.0,0.0
3910750,San Joaquin,2021,9.0,0,2021-07-01,2,395.93899999999996,1132.931,"[204.796, 191.143]","[Timestamp('2021-07-29 00:00:00'), Timestamp('2021-09-01 00:00:00')]",30.03980613142763,39.02208267674318,395.93899999999996,191.143,0.0,0.0
3910771,San Joaquin,2021,6.0,0,2021-07-01,3,345.57399999999996,697.023,"[131.2, 132.28600000000003, 82.08799999999998]","[Timestamp('2021-07-24 00:00:00'), Timestamp('2021-08-22 00:00:00'), Timestamp('2021-09-13 00:00:00')]",10.969139453651207,12.436513771509388,345.57399999999996,214.37400000000002,82.08799999999998,0.0
3910786,San Joaquin,2021,7.0,0,2021-07-01,2,398.318,1160.777,"[232.128, 166.18999999999997]","[Timestamp('2021-08-07 00:00:00'), Timestamp('2021-09-06 00:00:00')]",91.13261688801127,119.09370634382832,398.318,166.18999999999997,0.0,0.0
3910795,San Joaquin,2021,7.0,0,2021-07-01,2,333.577,910.7660000000001,"[166.31600000000003, 167.261]","[Timestamp('2021-07-26 00:00:00'), Timestamp('2021-08-28 00:00:00')]",40.604893035830095,44.43851182484612,333.577,167.261,0.0,0.0
3910805,San Joaquin,2021,7.0,0,2021-07-01,3,621.658,1180.8650000000002,"[207.571, 219.143, 194.94400000000002]","[Timestamp('2021-07-02 00:00:00'), Timestamp('2021-08-08 00:00:00'), Timestamp('2021-09-13 00:00:00')]",23.50627171679054,47.94246018017249,621.658,414.087,194.94400000000002,0.0
3910858,San Joaquin,2021,5.0,0,2021-07-01,2,316.78000000000003,733.469,"[165.869, 150.91100000000003]","[Timestamp('2021-07-16 00:00:00'), Timestamp('2021-08-12 00:00:00')]",6.782829671042508,7.049425141708812,316.78000000000003,150.91100000000003,0.0,0.0
3910885,San Joaquin,2021,7.0,0,2021-07-01,2,315.06499999999994,897.756,"[183.52499999999995, 131.54]","[Timestamp('2021-07-30 00:00:00'), Timestamp('2021-08-26 00:00:00')]",77.35435180951579,79.9594778637306,315.06499999999994,131.54,0.0,0.0
3910917,San Joaquin,2021,7.0,0,2021-07-01,3,505.9480000000001,1074.573,"[179.28600000000003, 186.80400000000003, 139.85800000000003]","[Timestamp('2021-07-04 00:00:00'), Timestamp('2021-08-08 00:00:00'), Timestamp('2021-09-06 00:00:00')]",28.096371953138284,46.63813384824938,505.9480000000001,326.66200000000003,139.85800000000003,0.0
3910956,San Joaquin,2021,8.0,8,2021-07-01,2,214.98200000000003,732.857,"[130.585, 84.397]","[Timestamp('2021-07-25 00:00:00'), Timestamp('2021-08-15 00:00:00')]",8.042928235329589,5.672850386770426,214.98200000000003,84.397,0.0,0.0
3910977,San Joaquin,2021,6.0,0,2021-07-01,2,375.413,896.154,"[268.25, 107.16299999999998]","[Timestamp('2021-08-17 00:00:00'), Timestamp('2021-09-06 00:00:00')]",16.496965227561578,20.318816295848343,375.413,107.16299999999998,0.0,0.0
3911050,San Joaquin,2021,7.0,7,2021-07-01,2,335.48699999999997,979.643,"[182.061, 153.426]","[Timestamp('2021-07-19 00:00:00'), Timestamp('2021-08-14 00:00:00')]",60.18711196883444,66.24669827128726,335.48699999999997,153.426,0.0,0.0
3911110,San Joaquin,2021,8.0,10,2021-07-01,3,637.0360000000001,1273.857,"[213.954, 211.123, 211.95900000000003]","[Timestamp('2021-07-06 00:00:00'), Timestamp('2021-08-06 00:00:00'), Timestamp('2021-09-10 00:00:00')]",22.56872389755299,47.16892912336472,637.0360000000001,423.082,211.95900000000003,0.0
3911185,San Joaquin,2021,9.0,9,2021-07-01,3,392.01,1148.374,"[144.558, 139.232, 108.22000000000001]","[Timestamp('2021-07-27 00:00:00'), Timestamp('2021-08-21 00:00:00'), Timestamp('2021-09-10 00:00:00')]",20.294181563714982,26.10079433986847,392.01,247.452,108.22000000000001,0.0
3911204,San Joaquin,2021,10.0,11,2021-07-01,3,461.68600000000004,976.242,"[160.877, 191.857, 108.952]","[Timestamp('2021-07-05 00:00:00'), Timestamp('2021-08-15 00:00:00'), Timestamp('2021-09-10 00:00:00')]",1.6378861026930749,2.4809353123620568,461.68600000000004,300.80899999999997,108.952,0.0
3911208,San Joaquin,2021,9.0,10,2021-07-01,2,267.02000000000004,865.4350000000001,"[189.01600000000002, 78.004]","[Timestamp('2021-07-31 00:00:00'), Timestamp('2021-08-23 00:00:00')]",13.403780464047157,11.742380116502206,267.02000000000004,78.004,0.0,0.0
3911213,San Joaquin,2021,7.0,8,2021-07-01,2,336.93,1067.127,"[199.89700000000002, 137.033]","[Timestamp('2021-07-23 00:00:00'), Timestamp('2021-08-15 00:00:00')]",27.183995116254454,30.04955208175726,336.93,137.033,0.0,0.0
3911318,San Joaquin,2021,7.0,0,2021-07-01,2,405.1010000000001,1202.6550000000002,"[239.46300000000002, 165.63800000000006]","[Timestamp('2021-07-30 00:00:00'), Timestamp('2021-08-27 00:00:00')]",47.828042297893596,63.56688898595472,405.1010000000001,165.63800000000006,0.0,0.0
3911340,San Joaquin,2021,7.0,0,2021-07-01,2,286.28499999999997,820.6259999999999,"[146.416, 139.869]","[Timestamp('2021-07-24 00:00:00'), Timestamp('2021-08-22 00:00:00')]",24.84557554096044,23.33633724981581,286.28499999999997,139.869,0.0,0.0
3911342,San Joaquin,2021,6.0,0,2021-07-01,3,581.7559999999999,825.9409999999998,"[268.62799999999993, 169.21399999999997, 143.914]","[Timestamp('2021-07-05 00:00:00'), Timestamp('2021-08-10 00:00:00'), Timestamp('2021-09-11 00:00:00')]",18.683476249550058,35.660185069006694,581.7559999999999,313.12799999999993,143.914,0.0
3911355,San Joaquin,2021,8.0,8,2021-07-01,3,446.2710000000001,987.195,"[178.526, 146.78, 120.965]","[Timestamp('2021-07-11 00:00:00'), Timestamp('2021-08-11 00:00:00'), Timestamp('2021-09-05 00:00:00')]",3.6445675279181495,5.336170588095672,446.2710000000001,267.745,120.965,0.0
3911376,San Joaquin,2021,8.0,0,2021-07-01,3,354.21999999999997,818.56,"[132.403, 134.915, 86.902]","[Timestamp('2021-07-09 00:00:00'), Timestamp('2021-08-08 00:00:00'), Timestamp('2021-08-28 00:00:00')]",52.31990777704979,60.803010934339156,354.21999999999997,221.817,86.902,0.0
3911451,San Joaquin,2021,6.0,0,2021-07-01,2,431.528,987.8770000000001,"[229.918, 201.61]","[Timestamp('2021-07-23 00:00:00'), Timestamp('2021-08-28 00:00:00')]",14.456051852207704,20.4665063769012,431.528,201.61,0.0,0.0
3911547,San Joaquin,2021,7.0,0,2021-07-01,3,430.05600000000004,855.081,"[154.82999999999998, 184.34500000000003, 90.881]","[Timestamp('2021-07-11 00:00:00'), Timestamp('2021-08-23 00:00:00'), Timestamp('2021-09-22 00:00:00')]",49.210457970928694,69.43324380953318,430.05600000000004,275.226,90.881,0.0
3911566,San Joaquin,2021,9.0,9,2021-07-01,3,450.047,942.3030000000001,"[144.432, 158.559, 147.056]","[Timestamp('2021-07-04 00:00:00'), Timestamp('2021-08-04 00:00:00'), Timestamp('2021-09-09 00:00:00')]",40.146371998249954,59.2774090508412,450.047,305.615,147.056,0.0
3911679,San Joaquin,2021,8.0,8,2021-07-01,3,573.751,1181.886,"[225.84099999999998, 217.43400000000003, 130.476]","[Timestamp('2021-07-11 00:00:00'), Timestamp('2021-08-18 00:00:00'), Timestamp('2021-09-10 00:00:00')]",47.94006333997051,90.24166430896135,573.751,347.91,130.476,0.0
3911703,San Joaquin,2021,8.0,8,2021-07-01,2,428.696,985.2030000000001,"[179.53, 249.166]","[Timestamp('2021-07-18 00:00:00'), Timestamp('2021-09-04 00:00:00')]",1.650951530384828,2.3220351616465034,428.696,249.166,0.0,0.0
3911724,San Joaquin,2021,7.0,8,2021-07-01,3,440.168,978.343,"[194.576, 153.681, 91.91099999999999]","[Timestamp('2021-07-15 00:00:00'), Timestamp('2021-08-16 00:00:00'), Timestamp('2021-09-06 00:00:00')]",57.68477085235704,83.3037736763133,440.168,245.59199999999998,91.91099999999999,0.0
3911735,San Joaquin,2021,7.0,0,2021-07-01,3,511.63800000000003,1032.144,"[201.273, 171.299, 139.066]","[Timestamp('2021-07-23 00:00:00'), Timestamp('2021-08-24 00:00:00'), Timestamp('2021-09-26 00:00:00')]",14.311172151852013,24.022767380017257,511.63800000000003,310.365,139.066,0.0
