cap_k,wy_type,n_cuttings,et_bin_idx,et_bin_label,et_bin_center,mean_saved_mm,mean_saved_acft,count,is_model
0,Wet,2,5,900–1100,1000,429.7101624803794,1.4098102443582001,0,True
0,Wet,2,6,1100–1400,1250,537.1377031004741,1.7622628054477498,0,True
0,Wet,2,7,1400–1700,1550,666.050751844588,2.18520587875521,0,True
0,Wet,2,8,1700–2100,1900,816.4493087127207,2.6786394642805798,0,True
0,Wet,2,9,2100–2500,2300,988.3333737048725,3.24256356202386,0,True
0,Wet,3,0,0–150,75,32.22826218602845,0.105735768326865,4,True
0,Wet,3,1,150–300,225,28.840999999999998,0.09462270341207348,24,False
0,Wet,3,2,300–500,400,99.02884615384617,0.3248977892186554,13,False
0,Wet,3,3,500–700,600,361.0023333333333,1.1843908573928257,6,False
0,Wet,3,4,700–900,800,343.76812998430347,1.12784819548656,4,True
0,Wet,3,5,900–1100,1000,429.7101624803794,1.4098102443582001,0,True
0,Wet,3,6,1100–1400,1250,537.1377031004741,1.7622628054477498,0,True
0,Wet,3,7,1400–1700,1550,666.050751844588,2.18520587875521,0,True
0,Wet,3,8,1700–2100,1900,816.4493087127207,2.6786394642805798,0,True
0,Wet,3,9,2100–2500,2300,988.3333737048725,3.24256356202386,0,True
0,Wet,4,0,0–150,75,0.0,0.0,6,False
0,Wet,4,1,150–300,225,22.26323529411765,0.07304211054500541,17,False
0,Wet,4,2,300–500,400,84.10593478260868,0.2759381062421545,46,False
0,Wet,4,3,500–700,600,355.13041379310346,1.1651260295049326,29,False
0,Wet,4,4,700–900,800,469.9059444444444,1.5416861694371535,18,False
0,Wet,4,5,900–1100,1000,545.6133333333333,1.7900699912510936,6,False
0,Wet,4,6,1100–1400,1250,537.1377031004741,1.7622628054477498,0,True
0,Wet,4,7,1400–1700,1550,666.050751844588,2.18520587875521,0,True
0,Wet,4,8,1700–2100,1900,816.4493087127207,2.6786394642805798,0,True
0,Wet,4,9,2100–2500,2300,988.3333737048725,3.24256356202386,0,True
0,Wet,5,0,0–150,75,32.22826218602845,0.105735768326865,2,True
0,Wet,5,1,150–300,225,31.71781818181819,0.10406108327368171,11,False
0,Wet,5,2,300–500,400,95.15895312500001,0.31220128978018374,64,False
0,Wet,5,3,500–700,600,284.5772795698925,0.9336524920272062,93,False
0,Wet,5,4,700–900,800,418.19254838709685,1.3720227965455933,93,False
0,Wet,5,5,900–1100,1000,491.23253333333344,1.6116552930883643,15,False
0,Wet,5,6,1100–1400,1250,587.6238571428572,1.9278997937757782,7,False
0,Wet,5,7,1400–1700,1550,666.050751844588,2.18520587875521,0,True
0,Wet,5,8,1700–2100,1900,816.4493087127207,2.6786394642805798,0,True
0,Wet,5,9,2100–2500,2300,988.3333737048725,3.24256356202386,0,True
0,Wet,6,0,0–150,75,32.22826218602845,0.105735768326865,0,True
0,Wet,6,1,150–300,225,96.68478655808535,0.31720730498059496,2,True
0,Wet,6,2,300–500,400,109.44551428571428,0.3590732095988001,35,False
0,Wet,6,3,500–700,600,274.4233103448276,0.9003389447008779,116,False
0,Wet,6,4,700–900,800,392.1336578947368,1.2865277489984803,304,False
0,Wet,6,5,900–1100,1000,442.1223455882353,1.4505326298826617,136,False
0,Wet,6,6,1100–1400,1250,497.72983333333343,1.632971894138233,30,False
0,Wet,6,7,1400–1700,1550,666.050751844588,2.18520587875521,0,True
0,Wet,6,8,1700–2100,1900,816.4493087127207,2.6786394642805798,0,True
0,Wet,6,9,2100–2500,2300,988.3333737048725,3.24256356202386,0,True
0,Wet,7,0,0–150,75,32.22826218602845,0.105735768326865,0,True
0,Wet,7,1,150–300,225,96.68478655808535,0.31720730498059496,2,True
0,Wet,7,2,300–500,400,103.9713,0.34111318897637793,10,False
0,Wet,7,3,500–700,600,277.62283749999995,0.9108360810367452,80,False
0,Wet,7,4,700–900,800,389.75188888888886,1.2787135462233885,360,False
0,Wet,7,5,900–1100,1000,435.6609328358209,1.429333769146394,402,False
0,Wet,7,6,1100–1400,1250,456.0233899371069,1.4961397307647863,159,False
0,Wet,7,7,1400–1700,1550,582.6060000000001,1.911437007874016,5,False
0,Wet,7,8,1700–2100,1900,816.4493087127207,2.6786394642805798,0,True
0,Wet,7,9,2100–2500,2300,988.3333737048725,3.24256356202386,0,True
0,Wet,8,0,0–150,75,32.22826218602845,0.105735768326865,0,True
0,Wet,8,1,150–300,225,96.68478655808535,0.31720730498059496,0,True
0,Wet,8,2,300–500,400,171.88406499215174,0.56392409774328,2,True
0,Wet,8,3,500–700,600,264.24804166666667,0.86695551727909,24,False
0,Wet,8,4,700–900,800,366.3954130434783,1.2020846884628553,230,False
0,Wet,8,5,900–1100,1000,425.26447887323945,1.3952246682192895,426,False
0,Wet,8,6,1100–1400,1250,471.79365423728825,1.5478794430357226,295,False
0,Wet,8,7,1400–1700,1550,550.4138,1.8058195538057744,5,False
0,Wet,8,8,1700–2100,1900,816.4493087127207,2.6786394642805798,0,True
0,Wet,8,9,2100–2500,2300,988.3333737048725,3.24256356202386,0,True
0,Wet,9,0,0–150,75,32.22826218602845,0.105735768326865,0,True
0,Wet,9,1,150–300,225,96.68478655808535,0.31720730498059496,0,True
0,Wet,9,2,300–500,400,171.88406499215174,0.56392409774328,1,True
0,Wet,9,3,500–700,600,257.8260974882276,0.84588614661492,3,True
0,Wet,9,4,700–900,800,371.33254,1.2182826115485563,50,False
0,Wet,9,5,900–1100,1000,428.45459659090915,1.4056909336972085,176,False
0,Wet,9,6,1100–1400,1250,471.6026,1.547252624671916,140,False
0,Wet,9,7,1400–1700,1550,666.050751844588,2.18520587875521,3,True
0,Wet,9,8,1700–2100,1900,816.4493087127207,2.6786394642805798,0,True
0,Wet,9,9,2100–2500,2300,988.3333737048725,3.24256356202386,0,True
0,Wet,10,0,0–150,75,32.22826218602845,0.105735768326865,0,True
0,Wet,10,1,150–300,225,96.68478655808535,0.31720730498059496,0,True
0,Wet,10,2,300–500,400,171.88406499215174,0.56392409774328,3,True
0,Wet,10,3,500–700,600,257.8260974882276,0.84588614661492,0,True
0,Wet,10,4,700–900,800,334.82958333333335,1.098522255030621,12,False
0,Wet,10,5,900–1100,1000,432.3531714285714,1.418481533558305,35,False
0,Wet,10,6,1100–1400,1250,478.28587096774186,1.5691793666920664,31,False
0,Wet,10,7,1400–1700,1550,666.050751844588,2.18520587875521,4,True
0,Wet,10,8,1700–2100,1900,816.4493087127207,2.6786394642805798,0,True
0,Wet,10,9,2100–2500,2300,988.3333737048725,3.24256356202386,0,True
0,Wet,11,0,0–150,75,32.22826218602845,0.105735768326865,0,True
0,Wet,11,1,150–300,225,96.68478655808535,0.31720730498059496,0,True
