UniqueID,county,WY,n_cuttings,n_cp_season,cutoff_date,n_late_cuts,late_et_mm,total_et_mm,late_cycle_et_mm_list,late_cut_dates,area_acres,late_et_acft
3903791,San Joaquin,2019,6.0,0,2019-07-01,3,472.634,976.21,"[162.09599999999998, 182.822, 127.71600000000001]","[Timestamp('2019-07-03 00:00:00'), Timestamp('2019-08-05 00:00:00'), Timestamp('2019-08-28 00:00:00')]",31.338302842532872,48.59431570104226
3903811,San Joaquin,2019,7.0,0,2019-07-01,2,416.919,881.769,"[214.92299999999997, 201.99599999999998]","[Timestamp('2019-07-28 00:00:00'), Timestamp('2019-09-01 00:00:00')]",26.393975587116007,36.10285402823103
3903879,San Joaquin,2019,7.0,0,2019-07-01,3,455.53499999999997,893.442,"[177.65200000000002, 141.66099999999997, 136.22199999999998]","[Timestamp('2019-07-11 00:00:00'), Timestamp('2019-08-06 00:00:00'), Timestamp('2019-09-02 00:00:00')]",90.07876130796113,134.62607786227713
3903899,San Joaquin,2019,8.0,0,2019-07-01,3,410.706,1007.6560000000001,"[153.68900000000002, 140.289, 116.728]","[Timestamp('2019-07-22 00:00:00'), Timestamp('2019-08-19 00:00:00'), Timestamp('2019-09-12 00:00:00')]",17.88294138311023,24.096559460930674
3903944,San Joaquin,2019,7.0,0,2019-07-01,3,600.535,1041.9319999999998,"[216.55700000000002, 251.95399999999998, 132.024]","[Timestamp('2019-07-05 00:00:00'), Timestamp('2019-08-18 00:00:00'), Timestamp('2019-09-12 00:00:00')]",22.838640671597027,44.99804158699973
3904000,San Joaquin,2019,6.0,0,2019-07-01,3,509.505,694.2429999999999,"[257.936, 130.99, 120.579]","[Timestamp('2019-07-01 00:00:00'), Timestamp('2019-08-04 00:00:00'), Timestamp('2019-09-02 00:00:00')]",18.902469144767515,31.597449283480227
3904126,San Joaquin,2019,6.0,0,2019-07-01,3,453.29900000000004,758.1,"[174.26500000000001, 163.96, 115.074]","[Timestamp('2019-07-01 00:00:00'), Timestamp('2019-08-04 00:00:00'), Timestamp('2019-08-28 00:00:00')]",91.0868671988565,135.46452038836765
3904148,San Joaquin,2019,6.0,0,2019-07-01,2,448.31700000000006,903.762,"[314.69000000000005, 133.627]","[Timestamp('2019-07-28 00:00:00'), Timestamp('2019-08-23 00:00:00')]",17.904341831348372,26.334713965894387
3904285,San Joaquin,2019,5.0,0,2019-07-01,3,539.472,839.871,"[178.457, 215.022, 145.99300000000002]","[Timestamp('2019-07-07 00:00:00'), Timestamp('2019-08-15 00:00:00'), Timestamp('2019-09-12 00:00:00')]",38.827923914159044,68.72236801121787
3904518,San Joaquin,2019,7.0,0,2019-07-01,3,562.484,1103.5749999999998,"[150.454, 268.65700000000004, 143.373]","[Timestamp('2019-07-05 00:00:00'), Timestamp('2019-08-20 00:00:00'), Timestamp('2019-09-20 00:00:00')]",38.246110008834364,70.5801343248333
3904595,San Joaquin,2019,6.0,0,2019-07-01,3,412.64000000000004,766.114,"[136.483, 158.97400000000005, 117.18299999999999]","[Timestamp('2019-07-02 00:00:00'), Timestamp('2019-08-01 00:00:00'), Timestamp('2019-08-23 00:00:00')]",39.59278446809007,53.60094023265318
3904640,San Joaquin,2019,7.0,0,2019-07-01,3,575.9939999999999,1122.1999999999998,"[207.188, 216.96499999999997, 151.84099999999998]","[Timestamp('2019-07-10 00:00:00'), Timestamp('2019-08-20 00:00:00'), Timestamp('2019-09-24 00:00:00')]",29.921201191916186,56.54341325241656
3904658,San Joaquin,2019,5.0,0,2019-07-01,2,342.622,647.664,"[160.447, 182.175]","[Timestamp('2019-07-24 00:00:00'), Timestamp('2019-09-01 00:00:00')]",4.261901160361088,4.79075163833739
3904793,San Joaquin,2019,6.0,0,2019-07-01,3,562.4590000000001,720.8000000000002,"[250.89800000000002, 181.39100000000005, 130.17000000000002]","[Timestamp('2019-07-02 00:00:00'), Timestamp('2019-08-08 00:00:00'), Timestamp('2019-09-08 00:00:00')]",15.411523277625031,28.439468409480636
3904872,San Joaquin,2019,8.0,0,2019-07-01,3,305.491,808.4280000000001,"[95.682, 94.229, 115.58000000000001]","[Timestamp('2019-07-06 00:00:00'), Timestamp('2019-08-04 00:00:00'), Timestamp('2019-09-02 00:00:00')]",32.82962214157143,32.904048876807074
