UniqueID,county,WY,n_cuttings,n_cp_season,et_cum_minET_to_last_cut_mm,cut_match_ratio,gdd5_mean
3914846,San Joaquin,2019,7,0,1080.8709999999999,,4132.318359375
3914933,San Joaquin,2019,6,0,764.691,,3692.7138671875
3914939,San Joaquin,2019,8,0,953.368,,4125.4140625
3915008,San Joaquin,2019,4,0,417.91099999999994,,2100.701171875
3915077,San Joaquin,2019,8,0,1025.646,,3968.0859375
3915090,San Joaquin,2019,7,0,1001.099,,3951.10986328125
3915182,San Joaquin,2019,9,0,999.1419999999998,,4072.136962890625
3915248,San Joaquin,2019,5,0,833.461,,2858.31005859375
3915266,San Joaquin,2019,6,0,980.971,,3603.922607421875
3915270,San Joaquin,2019,3,0,681.2620000000001,,2569.971435546875
3915300,San Joaquin,2019,6,0,793.458,,3379.7041015625
3915341,San Joaquin,2019,7,0,1066.442,,3939.51220703125
3915388,San Joaquin,2019,6,0,1008.3529999999998,,3606.07763671875
3915397,San Joaquin,2019,8,0,973.408,,4007.544921875
3915583,San Joaquin,2019,4,0,845.462,,2742.349853515625
3915670,San Joaquin,2019,6,0,962.1409999999998,,3736.589111328125
3915947,San Joaquin,2019,4,0,829.9680000000001,,2786.02392578125
3916123,San Joaquin,2019,6,0,999.0929999999998,,3469.9541015625
3916136,San Joaquin,2019,8,0,881.3929999999998,,4081.96142578125
3916170,San Joaquin,2019,8,0,901.331,,3911.686767578125
3916241,San Joaquin,2019,7,0,1047.52,,3651.566162109375
3916341,San Joaquin,2019,6,0,739.229,,3318.735107421875
3916553,San Joaquin,2019,8,0,1131.223,,4134.927734375
3917109,San Joaquin,2019,7,0,1175.4270000000001,,4075.408447265625
3917158,San Joaquin,2019,7,0,1016.153,,3448.28515625
3917179,San Joaquin,2019,7,0,1097.737,,3954.787109375
3917234,San Joaquin,2019,7,0,929.1020000000001,,3718.228759765625
3917278,San Joaquin,2019,6,0,1022.4619999999999,,3431.502685546875
3917340,San Joaquin,2019,6,0,999.757,,3504.6181640625
3917359,San Joaquin,2019,7,0,1147.986,,4075.244873046875
3917365,San Joaquin,2019,7,0,1018.6499999999999,,4016.776123046875
3917456,San Joaquin,2019,6,0,917.557,,3410.841552734375
3917457,San Joaquin,2019,7,0,948.153,,3309.942138671875
3917472,San Joaquin,2019,7,0,982.311,,3935.77490234375
3917479,San Joaquin,2019,6,0,1022.625,,3843.7412109375
3917560,San Joaquin,2019,8,0,1016.2900000000001,,4096.06494140625
3917596,San Joaquin,2019,8,0,1001.5060000000001,,4134.54150390625
3917701,San Joaquin,2019,7,0,927.7750000000001,,3717.48486328125
3917737,San Joaquin,2019,6,0,940.278,,3596.38623046875
3917748,San Joaquin,2019,8,0,955.7570000000001,,3832.72607421875
3917750,San Joaquin,2019,7,0,994.839,,3935.77490234375
3917755,San Joaquin,2019,6,0,1037.059,,3849.052001953125
3917825,San Joaquin,2019,6,0,1023.838,,3843.753662109375
3917828,San Joaquin,2019,7,0,838.2819999999999,,3177.639892578125
3917858,San Joaquin,2019,7,0,1031.079,,4018.953125
3917893,San Joaquin,2019,6,0,884.228,,3649.72705078125
3918001,San Joaquin,2019,8,0,991.6550000000001,,3901.814697265625
3918103,San Joaquin,2019,7,8,1126.749,0.875,3899.072265625
3918135,San Joaquin,2019,6,0,996.442,,3293.9814453125
3918272,San Joaquin,2019,7,8,1012.336,0.875,3672.7138671875
3918288,San Joaquin,2019,6,0,896.472,,3368.775146484375
3918932,San Joaquin,2019,6,0,811.462,,3307.079833984375
3919123,San Joaquin,2019,5,0,780.544,,2699.801513671875
3919317,San Joaquin,2019,7,0,1123.5480000000002,,4287.97265625
3919342,San Joaquin,2019,7,7,953.702,1.0,3957.40771484375
3919365,San Joaquin,2019,8,0,910.237,,3885.06591796875
3919421,San Joaquin,2019,4,0,446.37399999999997,,2047.515869140625
3919821,San Joaquin,2019,8,0,862.0229999999999,,4081.6875
3919877,San Joaquin,2019,7,0,1035.3880000000001,,3744.34228515625
3919895,San Joaquin,2019,8,0,976.8720000000001,,3881.458984375
3919927,San Joaquin,2019,10,0,985.995,,4115.0087890625
3920082,San Joaquin,2019,6,0,931.469,,3491.63671875
3920100,San Joaquin,2019,7,0,1087.3509999999999,,3952.27978515625
3920143,San Joaquin,2019,7,0,1093.9189999999999,,4301.9287109375
3920144,San Joaquin,2019,6,0,955.3709999999999,,3706.66162109375
3920147,San Joaquin,2019,2,0,243.731,,938.2999877929688
3920175,San Joaquin,2019,8,0,1039.465,,3937.281494140625
3920213,San Joaquin,2019,6,0,1021.938,,3814.954833984375
3920265,San Joaquin,2019,7,0,865.9759999999999,,3584.87353515625
3920274,San Joaquin,2019,7,0,963.471,,3877.14013671875
3920310,San Joaquin,2019,7,0,1070.252,,3971.9462890625
3920327,San Joaquin,2019,8,0,1013.7189999999999,,3899.986572265625
3920387,San Joaquin,2019,8,0,1052.4850000000001,,3998.44580078125
3920416,San Joaquin,2019,5,0,893.8839999999999,,3218.945556640625
3920445,San Joaquin,2019,5,0,740.139,,2840.1650390625
3920459,San Joaquin,2019,7,0,1017.633,,4070.30224609375
3920466,San Joaquin,2019,7,0,1066.4,,4113.00830078125
3920475,San Joaquin,2019,7,0,1160.4299999999998,,4078.285888671875
3900175,San Joaquin,2020,8,11,1153.458,0.7272727272727273,4110.708984375
3900381,San Joaquin,2020,7,8,1005.5389999999999,0.875,4138.67431640625
3900402,San Joaquin,2020,6,7,764.46,0.8571428571428571,3489.557373046875
3900440,San Joaquin,2020,8,9,1058.216,0.8888888888888888,4029.350830078125
3900453,San Joaquin,2020,8,9,1182.681,0.8888888888888888,4139.5390625
3900477,San Joaquin,2020,9,10,1185.3060000000003,0.9,4198.3740234375
3900490,San Joaquin,2020,7,9,1145.854,0.7777777777777778,4239.1484375
