county,WY,UniqueID,months_count,harvest_events_n,landsat_clear_passes_n,ET_open_annual_mm,ET_corr_annual_mm,delta_annual_mm,annual_pct_reduction,ET_corr_ci_low_annual_mm,ET_corr_ci_high_annual_mm,annual_ci_width_mm,annual_ci_rel_width_pct_of_corr,method,ci_alpha
San Joaquin,2019,3903767,12,4,13,1126.114,1126.114,0.0,0.0,1126.114,1126.114,0.0,0.0,A,0.1
San Joaquin,2019,3903791,12,4,13,1105.252,1100.435461,4.816538999999992,0.435786499368469,1098.772723,1105.252,6.479276999999911,0.5887920945506417,A,0.1
San Joaquin,2019,3903811,12,5,13,1152.425,1152.425,0.0,0.0,1152.425,1152.425,0.0,0.0,A,0.1
San Joaquin,2019,3903879,12,6,13,1115.335,1109.478836,5.856163999999993,0.5250587491650484,1099.1048675,1109.566874,10.462006500000143,0.9429658467140102,A,0.1
San Joaquin,2019,3903899,12,7,13,1043.776,957.78792725,85.98807275,8.23817301317524,929.6739050625,1009.3450119999999,79.67110693749987,8.31824088305764,A,0.1
San Joaquin,2019,3903944,12,5,13,1201.304,1201.304,0.0,0.0,1201.304,1201.304,0.0,0.0,A,0.1
San Joaquin,2019,3904000,12,6,13,950.662,873.107724,77.55427599999999,8.157923215611856,861.0344279999999,926.985964,65.95153600000003,7.55365394064479,A,0.1
San Joaquin,2019,3904126,12,5,13,1029.9409999999998,1012.9401039999999,17.00089600000001,1.6506669799532219,994.0458409999999,1023.4849999999999,29.439159000000018,2.9063079725788032,A,0.1
San Joaquin,2019,3904148,12,5,13,1133.948,1133.4863389179686,0.4616610820312417,0.04071272069188725,1133.3469667304687,1133.664741304883,0.31777457441421575,0.0280351481534012,A,0.1
San Joaquin,2019,3904285,12,5,13,1210.159,1209.940567578125,0.218432421875022,0.018049894425031916,1209.863924140625,1210.0302695273438,0.16634538671883092,0.013748227902780037,A,0.1
San Joaquin,2019,3904518,12,4,13,1157.9440000000002,1157.9440000000002,0.0,0.0,1108.407654,1157.9440000000002,49.536346000000094,4.277956965103674,A,0.1
San Joaquin,2019,3904595,12,6,13,1100.103,1100.103,0.0,0.0,1100.103,1100.103,0.0,0.0,A,0.1
San Joaquin,2019,3904640,12,4,13,1117.9650000000001,1117.9650000000001,0.0,0.0,1117.9650000000001,1117.9650000000001,0.0,0.0,A,0.1
San Joaquin,2019,3904658,12,5,13,939.027,936.818703,2.208297000000009,0.23516863732352838,911.77101845,938.403489,26.632470549999994,2.842862814834301,A,0.1
San Joaquin,2019,3904793,12,6,13,950.008,934.370062,15.637938000000005,1.6460848750747368,924.5563496000002,942.381686,17.825336399999742,1.9077383924143476,A,0.1
San Joaquin,2019,3904872,12,6,13,890.708,873.8356399999999,16.87236,1.8942638889512615,861.486719,883.2569599999999,21.770240999999942,2.491342765557141,A,0.1
San Joaquin,2019,3904951,12,7,13,1058.579,1058.579,0.0,0.0,1026.628132,1058.579,31.9508679999999,3.0182790325521194,A,0.1
San Joaquin,2019,3904962,12,4,13,1078.718,1071.1256680000001,7.592331999999999,0.7038291750021783,1068.926838,1076.5049840000001,7.578146000000061,0.7074936420998978,A,0.1
San Joaquin,2019,3905082,12,3,13,690.2990000000001,661.2331190000001,29.06588100000001,4.210621918907605,638.8821280000001,690.2990000000001,51.41687200000001,7.7759069415275315,A,0.1
San Joaquin,2019,3905114,12,2,13,771.8020000000001,769.3074160000001,2.494583999999996,0.32321553973687495,769.3074160000001,769.618633,0.31121699999994235,0.04045417911322232,A,0.1
San Joaquin,2019,3905118,12,7,13,1043.716,1025.05057925,18.66542074999998,1.788362040056872,998.2793177499999,1041.78668,43.50736225000003,4.244411264255185,A,0.1
San Joaquin,2019,3905123,12,4,13,1005.578,996.728406,8.849593999999996,0.8800504784313098,984.084762,998.589524,14.504762000000028,1.45523714511253,A,0.1
San Joaquin,2019,3905142,12,5,13,1083.027,1072.8091319999999,10.217867999999996,0.9434545953147978,1060.291004,1081.894488,21.60348399999998,2.013730434949353,A,0.1
San Joaquin,2019,3905127,12,6,13,1173.0639999999999,1151.2500724999998,21.813927500000034,1.8595684037699596,1133.434341,1166.41961,32.98526900000002,2.8651697652770416,A,0.1
San Joaquin,2019,3905216,12,6,13,1024.32,1024.32,0.0,0.0,1024.32,1024.32,0.0,0.0,A,0.1
San Joaquin,2019,3905246,12,6,13,1044.7769999999998,1044.7769999999998,0.0,0.0,1044.7769999999998,1044.7769999999998,0.0,0.0,A,0.1
San Joaquin,2019,3905284,12,4,13,1199.1940000000002,1198.8529214843752,0.341078515625,0.028442313389243107,1198.750007734375,1198.9762214640625,0.2262137296875153,0.018869181167563562,A,0.1
San Joaquin,2019,3905277,12,7,13,1089.068,1007.931348,81.13665200000003,7.45009971829124,942.0372159500001,1046.69674375,104.65952779999986,10.383596859813101,A,0.1
San Joaquin,2019,3905294,12,6,13,1200.412,1200.412,0.0,0.0,1200.412,1200.412,0.0,0.0,A,0.1
San Joaquin,2019,3905337,12,6,13,1122.974,1118.8869602187501,4.087039781249999,0.3639478546475697,1117.653374015625,1120.5322429270834,2.878868911458312,0.25729756568934126,A,0.1
San Joaquin,2019,3905367,12,6,13,934.0830000000001,925.5082000000001,8.57480000000001,0.917991227760275,921.9073360000001,925.7919250000001,3.8845890000000054,0.4197249684011449,A,0.1
San Joaquin,2019,3905372,12,7,13,1087.892,1068.87472125,19.017278750000003,1.7480851729767295,936.60566555,1083.928805,147.32313944999999,13.78301278167682,A,0.1
San Joaquin,2019,3905602,12,6,13,1185.1209999999999,1185.1209999999999,0.0,0.0,1185.1209999999999,1185.1209999999999,0.0,0.0,A,0.1
San Joaquin,2019,3905609,12,7,13,1032.2450000000001,1031.3570469921874,0.8879530078124844,0.08602153634190375,996.868307578125,1031.6704829296875,34.80217535156248,3.3744061237626966,A,0.1
San Joaquin,2019,3905612,12,7,13,1131.4309999999998,1112.9984905,18.43250950000001,1.629132443781372,1105.0729959999999,1123.461398,18.388402000000042,1.6521497699192114,A,0.1
San Joaquin,2019,3905693,12,6,13,1172.143,1165.0236802499999,7.119319749999988,0.6073763824038524,1151.4086159999997,1169.238406,17.82979000000023,1.5304229692716782,A,0.1
